Salumeria al Desco Prodotti Tipici Veneti\Sotto Il Salone, 13, 35122 Padova PD\http://www.salumeriaaldescocollesei.it/\049 654960\\PD\Sponsorizzato
Salumeria Al Carmine\Via Francesco Petrarca, 9, 35137 Padova PD\http://www.salumeriaalcarmine.it/\049 689 5881\\PD\
Salumificio De Mori Luigi\Via Vittorio Veneto, 1B, 35020 Albignasego PD\http://www.luigidemori.it/\049 862 9583\demorisrl@gmail.com\PD\
Antica Salumeria Guarnieri DAIDUE\Via S. Francesco, 48, 35121 Padova PD\http://daidue.it/\049 875 0541\\PD\
Salumificio M. Brugnolo Srl\Via Venezia, 15, 35010 Perarolo di Vigonza PD\http://www.salumificiobrugnolo.it/\049 893 4222\info@salumificiobrugnolo.it\PD\
Salumificio Brianza S.R.L.\Via Luppia S. Zeno, 35, 35044 Montagnana PD\https://www.salumificiobrianza.it/\0429 82155\info@salumificiobrianza.it\PD\
Salumificio Squizzato Sas\Via Padova, 188, 30030 Vigonovo VE\https://www.squizzato.info/\049 502758\squizzato1952@yahoo.it\VE\
Bertelli Salumi\Via Frassenara, 39, 35044 Montagnana PD\https://www.bertellisalumi.it/\0429 82918\9a65e97ebe8141fca0c4fd686f70996b@sentry.wixpress.com react-dom@18.3.1 rspack@1.6.8 79baaa8e09c746d2b7401643b99792e0@sentry.wixpress.com 2062d0a4929b45348643784b5cb39c36@sentry.wixpress.com react@18.3.1 lodash@4.17.23 dd0a55ccb8124b9c9d938e3acf41f8aa@sentry.wixpress.com 8eb368c655b84e029ed79ad7a5c1718e@sentry.wixpress.com 271e9fa3230b4eec94b02bf95780f5f2@sentry.wixpress.com intl-segmenter@11.7.10 605a7baede844d278b89dc95ae0a9123@sentry-next.wixpress.com core-js-bundle@3.2.1 c183baa23371454f99f417f6616b724d@sentry.wixpress.com ed436f5053144538958ad06a5005e99a@sentry.wixpress.com focus-within-polyfill@5.0.9 8c4075d5481d476e945486754f783364@sentry.io 460ff4620fa44cba8df530afde949785@sentry.wixpress.com\PD\
Antica Salumeria Franchin Dal 1978\Via del Santo, 95, 35123 Padova PD\\049 875 0532\\PD\
Salumificio Bazza S.R.L.\Via Zona Artigianale Fossetta, 59, 35020 Terrassa Padovana PD\http://www.salumificiobazza.it/\049 950 1066\info@salumibazza.it\PD\
Brugnolo Giancarlo\Via della Resistenza, 32, 35027 Padova PD\http://www.brugnologiancarlo.it/\049 625155\\PD\
La bottega del prosciutto\Sotto Il Salone, 48, 35122 Padova PD\\\\PD\
La Bottega Veneta\Sotto Il Salone, 35, 35122 Padova PD\https://sites.google.com/view/labottegaveneta/prodotti\049 875 9096\labottegaveneta8@gmail.com\PD\
Salumificio Magri\Via Isabella Ravignana, 1, 35121 Padova PD\\\\PD\
Martelli Salumi S.p.A.\Via dell'Industria, 11, 35040 Boara Pisani PD\https://www.martelli.com/\0425 485811\\PD\
Prosciuttificio Daniolo\Via Campana, 14B, 35044 Montagnana PD\http://www.prosciuttoveneto.it/\0429 81512\info@prosciuttoveneto.it infoprosciuttoveneto@pec.it\PD\
Casa Cason\Via Rebecca, 16, 35010 San Pietro in Gu PD\http://casacason.it/\049 945 5262\noi@casacason.it\PD\
Carni Bonetto S.R.L.\Via Ronchi, 145, 35010 Loreggia PD\http://www.carnibonetto.it/\049 579 4385\info@carnibonetto.it\PD\
Gastronomia Marcolin\Sotto Il Salone, 49, 35122 Padova PD\http://www.gastronomiamarcolin.it/\049 875 0654\info@gastronomiamarcolin.it\PD\
Macelleria da Mattia\Sotto Il Salone, 13, 35122 Padova PD\\049 875 0876\\PD\
Salumificio F.Lli Scapocchin S.R.L.\Via Giorgio la Pira, 14, 35012 Camposampiero PD\\049 641642\\PD\
Prosciuttificio Vittorio Soranzo S.R.L.\Via Luppia S. Zeno, 19, 35044 Montagnana PD\https://www.prosciuttificiosoranzo.it/\0429 81627\amministrazione@prosciuttificiosoranzo.it prosciuttificiosoranzo@pec.it\PD\
F.lli Billo S.r.l.\Via Bindoletta, 49, 35040 Merlara PD\https://www.fratellibillo.com/\0429 844516\info@fratellibillo.it\PD\
L'Azzurra Gastronomia di Carraro Natalino\Via Fabrici Girolamo d'Acquapendente, 57, 35126 Padova PD\\049 880 1477\\PD\
Macelleria Padova Canton Francesco - Carne di alta qualit da oltre 110 anni\Sotto Il Salone, 3334, 35122 Padova PD\https://macelleriacantonpadova.it/\352 061 6612\info@macelleriacantonpadova.it\PD\
Mercato Sotto il Salone\Piazza delle Erbe, 35, 35122 Padova PD\https://mercatosottoilsalone.it/\\\PD\
Con Mollica o Senza - Padova\Via del Santo, 64, 35123 Padova PD\https://conmollicaosenzashop.it/\\\PD\
Antica Macelleria Sandon Luigi\Via Vito Volterra, 21, 35143 Padova PD\\049 620572\\PD\
Sumiti\Via Giambattista Belzoni, 8, 35121 Padova PD\http://www.sumiti.it/Presentazione.htm\049 875 1013\marco@sumiti.it\PD\
Societ Cooperativa Sv.A.S. (Soc.Coop.R.L.)\Via Mario Merlin, 1, 35143 Padova PD\\049 868 6263\\PD\
Macelleria Santa Giustina Di Marcato Michele\Via Cavazzana, 2, 35123 Padova PD\\049 875 1613\\PD\
La Prosciutteria Padova\Piazza dei Signori, 5, 35139 Padova PD\https://www.laprosciutteria.com/aperitivo-padova/\049 798 7398\\PD\
\Piazza dei Signori, 5, 35139 Padova PD\https://www.laprosciutteria.com/aperitivo-padova/\049 798 7398\\PD\La Prosciutteria Padova
La Bottega del Salumificio Squizzato\Piazza dei Signori, 5, 35139 Padova PD\https://www.laprosciutteria.com/aperitivo-padova/\049 798 7398\\PD\La Prosciutteria Padova
Macelleria Borsetto\Piazza dei Signori, 5, 35139 Padova PD\https://www.laprosciutteria.com/aperitivo-padova/\049 798 7398\\PD\La Prosciutteria Padova
Favero Carni  Macelleria Padova\Piazza dei Signori, 5, 35139 Padova PD\https://www.laprosciutteria.com/aperitivo-padova/\049 798 7398\\PD\La Prosciutteria Padova
Corte del Gusto di Consorzio Corte del Gusto\Piazza dei Signori, 5, 35139 Padova PD\https://www.laprosciutteria.com/aperitivo-padova/\049 798 7398\\PD\La Prosciutteria Padova
