Gourmeats - Cavarzano Carni Store\Via Vittorio Veneto, 230, 32100 Belluno BL\\0437 33731\\BL\
Macelleria Segat salumi nostrani Belluno via mezzaterra n44\Via Mezzaterra, 44, 32100 Belluno BL\\0437 941708\\BL\
Macelleria Salumeria Segat Castion\\\0437 925938\\\
Macelleria Buona Carne\Via Caduti 14 Settembre 1944, 34, 32100 Belluno BL\\0437 33766\\BL\
Macelleria Dal Farra Giuseppe\Via Roma, 2, 32100 Belluno BL\\0437 943223\\BL\
Macelleria Pinali G. & C.\Via Col di Salce, 3A, 32100 Belluno BL\http://macelleriapinalibelluno.myadj.it/\0437 932381\\BL\
Macelleria Mizane  Negozio di alimentari multietnici\Viale Medaglie D'Oro, 17, 32100 Belluno BL\https://macelleriamizane.biglietto.business/\375 876 2115\\BL\
La Botega del formai\Via Caduti 14 Settembre 1944, 32100 Belluno BL\\0437 930882\\BL\
Bottega Manolli\Piazza Giorgio Piloni, 10, 32100 Belluno BL\https://www.facebook.com/bottegamanolli/\328 871 8083\\BL\
Macelleria Perera\Via Sois, 288, 32100 Belluno BL\\0437 915014\\BL\
Macelleria Conz\Via la Cal, 72, 32020 Limana BL\\0437 382423\\BL\
Ipermercato Emisfero Belluno Dolomiti\Via Tonegutti Mariano, 6, 32100 Belluno BL\https://promo.emisfero.eu/punti-vendita/emisfero-di-belluno/?utm_source=Google&utm_medium=GMB&utm_campaign=Volantino\0437 938800\\BL\
Boito Serafina Srl\Via Cernidor 1 - Loc, 32100 Vena D'Oro BL\https://boitoserafina.it/\0437 927610\info@boitoserafina.it\BL\
Il Paiolo Qualita In Cucina Di Laveder Claudio\Via Feltre, 104, 32100 Belluno BL\http://ilpaiolobelluno.it/\0437 940472\\BL\
Valbelluna Due Cash & Carry S.r.l.\Via dell'Artigianato, 30, 32100 Belluno BL\http://www.valbelluna.eu/\0437 31070\info@valbelluna.eu 20info@valbelluna.eu\BL\
Salumificio Piovesan S.r.l.\Via Cal Lusent, 55, 31040 Pederobba TV\http://www.salumificiopiovesan.com/\0423 688718\info@salumificiopiovesan.com\TV\
Macelleria Segabinazzi\Via Fontanelle, 5, 37020 Belluno Veronese VR\\045 723 0005\\VR\
Alimentari Serbatti\Via Madeago, 75, 32100 Belluno BL\\0437 925709\\BL\
Supermercato A&O Belluno\P.za, dei Martiri, 10, 32100 Belluno BL\https://www.aeo.it/punti-vendita/Veneto/supermercato-aeo-belluno\0437 291813\gio@pulsapublishing.it a@a.it\BL\
Macelleria Salumeria De Villa\Corso Italia, 104, 32046 San Vito di Cadore BL\https://www.macelleriadevilla.it/\0436 890111\\BL\
Panificio Balbinot Il Fornaio\Viale Giovanni Paolo I, 48, 32100 Belluno BL\http://www.balbinotilfornaio.it/\0437 931140\commerciale@grandiforni.it\BL\
Latteria di Camolino Societ Agricola Cooperativa\Localit Camolino, 32037 Mis BL\http://www.latteriacamolino.it/\0437 89228\\BL\
Balbinot il Fornaio\Via Feltre, 67, 32100 Belluno BL\http://www.balbinotilfornaio.it/\0437 943955\commerciale@grandiforni.it\BL\
Pam Kanguro\Via Lungardo, 92, 32100 Belluno BL\\\\BL\
MACELLERIE DINO\Via A. Palman, 22, 32026 Trichiana BL\\0437 554486\\BL\
Carpano Speck Srl\Via degli Artigiani, 7, 32020 Pi Falcade BL\https://www.carpanoshop.com/\0437 599454\ecommerce@carpanoshop.com\BL\
Svelto A&O\Via Vezzano, 107, 32100 Belluno BL\https://www.aeo.it/punti-vendita/veneto/svelto-aeo-belluno---vezzano\0437 294478\gio@pulsapublishing.it a@a.it\BL\
Bottega Valter\Viale Alpago, 74, 32016 Alpago BL\\0437 459196\\BL\
Macelleria Fa\Piazza 4 Novembre, 14, 32020 Cencenighe Agordino BL\https://www.facebook.com/macelleria.fae.dolomiti/\0437 591139\\BL\
Tessaro Spa\Via Fenadora, 57, 32030 Zona Industriale BL\https://www.tessaroformaggi.it/\0439 56347\\BL\
Cavoli nostri\Via Jacopo Tasso, 12, 32100 Belluno BL\\389 280 3185\\BL\
La Bottega Dolomitica\Via Risorgimento, 17, 32034 Pedavena BL\https://www.bottegadolomitica.it/it\0439 396480\info@bottegadolomitica.it\BL\
Macelleria Brandalise\Via Spert 4, Loc. Spert, 32016 Alpago BL\http://brandalisemacelleria.myadj.it/\0437 472151\\BL\
La Casera\Via Faverghera, 751, 32100 Belluno BL\http://www.lacaseranevegal.com/\0437 908180\\BL\
Supermercato Eurospar Belluno\Viale Europa, 810,12, 32100 Belluno BL\https://www.despar.it/it/punto-vendita-eurospar/105/belluno/?&utm_source=google&utm_medium=organic&utm_campaign=local-sitoweb-supermercato-eurospar-belluno\0437 949009\\BL\
Panificio Pasticceria F.lli Baietta\Via Cavarzano, 14, 32100 Belluno BL\\0437 967413\\BL\
Super W Belluno\Via Vittorio Veneto, 139, 32100 Belluno BL\http://www.walber.it/punto-vendita/belluno\0437 33921\\BL\
Ipermercato Emisfero Belluno Veneggia\Via Vittorio Veneto, 271, 32100 Belluno BL\https://promo.emisfero.eu/punti-vendita/emisfero-di-belluno-veneggia/?utm_source=Google&utm_medium=GMB&utm_campaign=Volantino\0437 932190\\BL\
Macelleria Halal\Via Belluno, 60, 32032 Feltre BL\\351 281 5097\\BL\
Gianni Fregona\Via Duomo, 16, 32100 Belluno BL\\\\BL\
Gazzi Centro Carni s.n.c.\Via Pedemontana, 20, 32030 Soranzen BL\\0439 438161\\BL\
Bar Bianco - Latteria di Roverbasso nuova gestione\Via Feltre, 82-i, 32036 Sedico BL\https://www.latteriadiroverbasso.com/\0437 852216\\BL\
Supermercato Famila Belluno\Viale Europa, 19, 32100 Belluno BL\https://promo.unicomm.it/punti-vendita/famila-di-belluno?utm_source=GMB&utm_medium=GoogleMyBusiness&utm_campaign=belluno\0437 948780\\BL\
SPIEDI FIRPO SNC\Piazza Martiri, 22, 32036 Sedico BL\http://spiedifirpo.it/\328 488 2255\\BL\
Supermercato Kanguro Belluno\Via Gregorio XVI, 32100 Belluno BL\http://www.kangurosupermercati.it/\0437 942498\\BL\
Supermercato Kanguro Castion\Via Nongole, 170, 32100 Belluno BL\https://www.kangurosupermercati.it/\\\BL\
Eurospin\Via Francesco del Vesco, snc, 32100 Belluno BL\https://www.eurospin.it/\045 786 2000\\BL\
Al Botegon\Via Nongole, 1, 32100 Belluno BL\\0437 925130\\BL\
Panificio Deola\Via Vittorio Veneto, 70, 32100 Belluno BL\http://www.panificiodeola.it/punti-vendita.html\0437 32545\\BL\
La Baita Mussoi\Via Gregorio XVI, 100, 32100 Belluno BL\https://www.facebook.com/LaBaitaMussoiOfficial/\388 796 0167\\BL\
Latteria di Lentiai Soc. Coop. Agr.\Via dei Martiri, 61, 32026 Lentiai BL\http://www.latterialentiai.it/\0437 750584\\BL\
Ditta Fregona Renzo\Piazza duomo BL marted-sabato 7301230, 32100 Belluno BL\https://www.facebook.com/dittafregonarenzo/\335 530 6845\\BL\
Macelleria Gaz Loris\Via Dolomiti, 99, 32036 Sedico BL\\0437 87185\\BL\
Salumificio Stecca Srl\Via del Cristo, 11C, 31044 Montebelluna TV\http://www.salumificiostecca.it/\0423 86270\salumificiosteccasrl@gmail.com\TV\
Officine del Buon Gusto\Via Fiorenzo Tomea, 9, 32100 Belluno BL\https://www.officinedelbuongusto.it/\0437 925477\info@officinedelbuongusto.it\BL\
Locanda Case Bortot\Via Pra de Luni, 60, 32100 Belluno BL\http://www.locandacasebortot.it/\0437 294831\info@locandacasebortot.it\BL\
Salumi De Stefani Srl\Str. di Guia, 31, 31049 Valdobbiadene TV\https://www.salumidestefani.it/\0423 901065\\TV\
Antica Macelleria San Daniel S.n.C.\Via Roma, 56, 32033 Lamon BL\\0439 9094\\BL\
Pianeta Alimentare S.R.L.\Via Monte Grappa, 3335, 31020 Vidor TV\http://www.pianetalimentare.com/\0423 987151\info@pianetalimentare.it\TV\
Super W - Sedico\Via Belluno, 10, 32036 Sedico BL\http://www.walber.it/punto-vendita/sedico\0437 852847\\BL\
Fabbrica della Birra Belluno\Via Michele Cappellari, 18, 32100 Belluno BL\https://www.facebook.com/profile.php?id=100075841432422\388 947 5253\\BL\
Azienda agricola Paolo Rossa\Localit volto, 32040 Vodo Cadore BL\\349 794 1044\\BL\
Milchhof Agostini\Via Bacalin, 6, 32020 Selva di Cadore BL\http://www.iski.it/it/Milchhof-Agostini/Formaggi-dolomiti-agostini/Milchhof-agostini-azienda-agricola.html\380 395 7409\litepicker@2.0.11 albertbacan@libero.it\BL\
Macelleria Pomar - La Vecia Bekaria\Via Campitello, 16, 32040 San Nicol di Comelico BL\\0435 62123\\BL\
Caldara Catering\Localit Pezi, 16, 32043 Cortina d'Ampezzo BL\http://www.caldaracatering.it/\0436 4270\info@caldaracatering.it\BL\
Supermercato Kanguro\Via Pietro Trois, 8, 32100 Belluno BL\\\\BL\
Ristorante Nogherazza dal 1994 Orus snc\Via Gresane, 76, 32100 Castion BL\http://www.nogherazza.it/\0437 927461\info@nogherazza.it\BL\
Il Mondo Egiziano e Arabo\Via Vittorio Veneto, 68, 32100 Belluno BL\https://soloist.ai/ilmondoegizianoearabo\351 172 7106\name@example.com\BL\
