Societ Agricola LA SALUMERIA GUZZO S.S.\Via Ca' Rubaldi, 13B, 30034 Mira VE\http://www.lasalumeriaguzzo.it/\041 429813\info@lasalumeriaguzzo.it\VE\
Salumeria - Roby & Giusy\S. Polo, 1597, 30100 Venezia VE\\041 721206\\VE\
Bonazza S.P.A.\Via Triestina, 185b, 30173 Venezia VE\http://www.bonazza.it/\041 541 5161\info@bonazza.it\VE\
La Prosciutteria Venezia\Strada Nova, 3843, 30121 Venezia VE\https://www.laprosciutteria.com/aperitivo-venezia/\041 099 5101\\VE\
\Strada Nova, 3843, 30121 Venezia VE\https://www.laprosciutteria.com/aperitivo-venezia/\041 099 5101\\VE\La Prosciutteria Venezia
Prosciutto e Parmigiano\Strada Nova, 3843, 30121 Venezia VE\https://www.laprosciutteria.com/aperitivo-venezia/\041 099 5101\\VE\La Prosciutteria Venezia
Gastronomia Prosciutteria Marzaro Gastone\Strada Nova, 3843, 30121 Venezia VE\https://www.laprosciutteria.com/aperitivo-venezia/\041 099 5101\\VE\La Prosciutteria Venezia
Torresano Salumi e Tradizioni dal 1971\Strada Nova, 3843, 30121 Venezia VE\https://www.laprosciutteria.com/aperitivo-venezia/\041 099 5101\\VE\La Prosciutteria Venezia
Salumeria Da Ciano\Strada Nova, 3843, 30121 Venezia VE\https://www.laprosciutteria.com/aperitivo-venezia/\041 099 5101\\VE\La Prosciutteria Venezia
Aliani Casa Del Parmigiano\Strada Nova, 3843, 30121 Venezia VE\https://www.laprosciutteria.com/aperitivo-venezia/\041 099 5101\\VE\La Prosciutteria Venezia
La Salumeria dalla Maria\Strada Nova, 3843, 30121 Venezia VE\https://www.laprosciutteria.com/aperitivo-venezia/\041 099 5101\\VE\La Prosciutteria Venezia
